window,config,start,end,n_years,cagr,sharpe,max_dd,gross_cagr,annual_vol,sortino,turnover_annual,avg_holdings,value_data_coverage,n_days,net_cagr,max_dd_date,total_return,calmar,win_rate,spy_excess_cagr,sector_hhi,sleeve_correlation,allocator_defensive_frac
roll_3y_2018q3,combined_static,2018-07-01,2021-06-30,3.0,27.13,0.904,-34.33,27.53,25.58,1.022,6.4,45.8,99.9,755.0,27.13,2020-03-23,105.29,0.79,56.6,8.65,,,
roll_3y_2018q3,spy_benchmark,2018-07-01,2021-06-30,3.0,18.48,0.643,-33.72,18.48,22.53,,0.0,1.0,,755.0,18.48,,66.22,,,,,,
roll_3y_2019q1,value_only,2019-01-01,2021-12-31,3.0,29.89,1.129,-31.43,30.18,22.94,1.309,4.7,29.2,99.9,757.0,29.89,2020-03-23,119.35,0.951,55.7,4.0,,,
roll_3y_2019q1,combined_static,2019-01-01,2021-12-31,3.0,31.39,1.096,-34.33,31.81,24.99,1.244,6.6,45.7,99.9,757.0,31.39,2020-03-23,127.07,0.914,56.1,5.5,,,
roll_3y_2019q1,spy_benchmark,2019-01-01,2021-12-31,3.0,25.89,0.999,-33.72,25.89,21.92,,0.0,1.0,,757.0,25.89,,99.68,,,,,,
roll_3y_2019q3,value_only,2019-07-01,2022-06-30,3.0,19.75,0.649,-31.43,20.03,24.25,0.774,4.9,29.2,99.9,757.0,19.75,2020-03-23,71.82,0.628,54.6,9.52,,,
roll_3y_2019q3,combined_static,2019-07-01,2022-06-30,3.0,20.36,0.616,-34.33,20.75,26.55,0.725,6.6,45.5,99.9,757.0,20.36,2020-03-23,74.47,0.593,55.4,10.13,,,
roll_3y_2019q3,spy_benchmark,2019-07-01,2022-06-30,3.0,10.22,0.263,-33.72,10.22,23.67,,0.0,1.0,,757.0,10.22,,33.96,,,,,,
roll_3y_2020q1,value_only,2020-01-01,2022-12-31,3.0,19.75,0.621,-31.43,20.05,25.35,0.787,5.1,29.2,99.9,756.0,19.75,2020-03-23,71.72,0.628,52.7,12.46,,,
roll_3y_2020q1,combined_static,2020-01-01,2022-12-31,3.0,19.96,0.588,-34.33,20.34,27.14,0.717,6.5,45.1,99.9,756.0,19.96,2020-03-23,72.62,0.581,54.0,12.67,,,
roll_3y_2020q1,spy_benchmark,2020-01-01,2022-12-31,3.0,7.29,0.131,-33.72,7.29,25.0,,0.0,1.0,,756.0,7.29,,23.49,,,,,,
roll_3y_2020q3,value_only,2020-07-01,2023-06-30,3.0,20.87,0.948,-17.79,21.17,17.8,1.374,5.1,29.2,99.9,755.0,20.87,2022-10-12,76.46,1.173,52.5,6.55,,,
roll_3y_2020q3,combined_static,2020-07-01,2023-06-30,3.0,19.49,0.806,-17.28,19.89,19.21,1.152,6.9,44.8,99.9,755.0,19.49,2022-06-17,70.48,1.128,52.9,5.17,,,
roll_3y_2020q3,spy_benchmark,2020-07-01,2023-06-30,3.0,14.32,0.566,-24.5,14.32,18.24,,0.0,1.0,,755.0,14.32,,49.34,,,,,,
roll_3y_2021q1,value_only,2021-01-01,2023-12-31,2.99,19.58,0.926,-17.79,19.89,16.82,1.352,5.3,29.3,99.9,753.0,19.58,2022-10-12,70.62,1.1,52.4,9.09,,,
roll_3y_2021q1,combined_static,2021-01-01,2023-12-31,2.99,18.1,0.762,-17.28,18.51,18.5,1.12,7.1,45.0,99.9,753.0,18.1,2022-06-17,64.41,1.048,52.5,7.61,,,
roll_3y_2021q1,spy_benchmark,2021-01-01,2023-12-31,2.99,10.49,0.369,-24.5,10.49,17.6,,0.0,1.0,,753.0,10.49,,34.74,,,,,,
roll_3y_2021q3,value_only,2021-07-01,2024-06-30,2.99,16.36,0.754,-17.79,16.68,16.39,1.077,5.6,29.2,99.9,753.0,16.36,2022-10-12,57.27,0.92,52.4,6.58,,,
roll_3y_2021q3,combined_static,2021-07-01,2024-06-30,2.99,19.95,0.879,-17.28,20.37,18.14,1.302,7.1,44.8,99.9,753.0,19.95,2022-06-17,72.23,1.155,51.5,10.17,,,
roll_3y_2021q3,spy_benchmark,2021-07-01,2024-06-30,2.99,9.78,0.334,-24.5,9.78,17.3,,0.0,1.0,,753.0,9.78,,32.15,,,,,,
roll_3y_2022q1,value_only,2022-01-01,2024-12-31,2.99,16.87,0.782,-17.79,17.2,16.45,1.127,5.9,29.2,99.9,753.0,16.87,2022-10-12,59.32,0.948,52.1,8.2,,,
roll_3y_2022q1,combined_static,2022-01-01,2024-12-31,2.99,24.7,1.108,-16.16,25.14,18.69,1.614,7.2,45.1,99.9,753.0,24.7,2022-06-17,93.42,1.529,52.1,16.04,,,
roll_3y_2022q1,spy_benchmark,2022-01-01,2024-12-31,2.99,8.67,0.267,-24.47,8.67,17.51,,0.0,1.0,,753.0,8.67,,28.19,,,,,,
roll_3y_2022q3,value_only,2022-07-01,2025-06-30,2.98,23.21,1.214,-14.01,23.57,15.83,1.767,6.0,29.2,99.9,751.0,23.21,2025-04-08,86.29,1.657,52.5,3.94,,,
roll_3y_2022q3,combined_static,2022-07-01,2025-06-30,2.98,32.38,1.49,-20.2,32.86,19.05,2.114,7.3,45.5,99.9,751.0,32.38,2025-04-08,130.71,1.603,53.5,13.11,,,
roll_3y_2022q3,spy_benchmark,2022-07-01,2025-06-30,2.98,19.27,0.872,-18.76,19.27,17.52,,0.0,1.0,,751.0,19.27,,69.09,,,,,,
roll_3y_2023q1,value_only,2023-01-01,2025-12-31,2.98,25.78,1.605,-14.01,26.17,13.56,2.246,6.4,29.2,99.9,752.0,25.78,2025-04-08,98.25,1.84,54.3,2.6,,,
roll_3y_2023q1,combined_static,2023-01-01,2025-12-31,2.98,36.24,1.758,-20.2,36.74,18.34,2.398,7.5,45.8,99.9,752.0,36.24,2025-04-08,151.65,1.794,54.7,13.06,,,
roll_3y_2023q1,spy_benchmark,2023-01-01,2025-12-31,2.98,23.18,1.249,-18.76,23.18,15.35,,0.0,1.0,,752.0,23.18,,86.28,,,,,,
roll_5y_2008q1,value_only,2008-01-01,2012-12-31,5.0,12.96,0.605,-17.41,13.13,14.8,0.787,3.1,20.4,99.9,1259.0,12.96,2011-10-03,83.81,0.744,38.9,11.11,,,
roll_5y_2008q1,combined_static,2008-01-01,2012-12-31,5.0,7.26,0.126,-45.64,7.66,25.89,0.166,7.5,35.8,99.9,1259.0,7.26,2009-03-05,41.95,0.159,53.3,5.42,,,
roll_5y_2008q1,spy_benchmark,2008-01-01,2012-12-31,5.0,1.84,-0.082,-51.85,1.84,26.22,,0.0,1.0,,1259.0,1.84,,9.56,,,,,,
roll_5y_2009q1,value_only,2009-01-01,2013-12-31,4.99,18.83,0.946,-17.41,19.05,15.67,1.216,3.8,26.5,99.9,1258.0,18.83,2011-10-03,136.6,1.082,51.0,1.65,,,
roll_5y_2009q1,combined_static,2009-01-01,2013-12-31,4.99,24.71,1.046,-22.05,25.13,19.81,1.415,6.8,41.9,99.9,1258.0,24.71,2011-08-08,201.15,1.121,55.4,7.53,,,
roll_5y_2009q1,spy_benchmark,2009-01-01,2013-12-31,4.99,17.18,0.688,-27.13,17.18,19.16,,0.0,1.0,,1258.0,17.18,,120.68,,,,,,
roll_5y_2010q1,value_only,2010-01-01,2014-12-31,4.99,22.34,1.169,-17.41,22.57,15.69,1.51,3.8,29.6,99.9,1258.0,22.34,2011-10-03,173.66,1.283,57.3,7.36,,,
roll_5y_2010q1,combined_static,2010-01-01,2014-12-31,4.99,23.24,1.085,-22.05,23.6,17.73,1.411,6.0,45.8,99.9,1258.0,23.24,2011-08-08,183.83,1.054,56.5,8.26,,,
roll_5y_2010q1,spy_benchmark,2010-01-01,2014-12-31,4.99,14.98,0.692,-18.61,14.98,15.87,,0.0,1.0,,1258.0,14.98,,100.74,,,,,,
